label,group,method,session_id,queries,speedup,baseline_ttft_ms,method_ttft_ms,warm_page_queries,fallback_queries,full_hit_queries,partial_hit_queries,registered_pages,used_pages,residual_count_mean,read_amplification_mean,batch_dir,baseline_config,method_config
exp1_eventqa_scale1_qwen3_embed_4b,exp1_eventqa_scale1_qwen3_embed_4b,temporal,eventqa-scenario-0001,100,2.024408291654863,2529.328780840151,1249.4163313135505,90,10,3,87,97,67,4.27,3.099000000000001,paper_results/evaluation/exp1/autoeval/20260607_235821,config_008_exp1_eventqa_scale1_baseline_qwen3_embed_4b,config_010_exp1_eventqa_scale1_temporal_qwen3_embed_4b
exp1_eventqa_scale1_qwen3_embed_4b,exp1_eventqa_scale1_qwen3_embed_4b,temporal,eventqa-scenario-0002,100,2.0659675011902285,2531.284168707207,1225.2294226549566,91,9,6,85,94,67,3.78,3.304999999999999,paper_results/evaluation/exp1/autoeval/20260607_235821,config_008_exp1_eventqa_scale1_baseline_qwen3_embed_4b,config_010_exp1_eventqa_scale1_temporal_qwen3_embed_4b
exp1_eventqa_scale1_qwen3_embed_4b,exp1_eventqa_scale1_qwen3_embed_4b,temporal,eventqa-scenario-0003,100,1.7941653324001778,2538.566754492931,1414.9012405099347,80,20,4,76,96,54,4.95,2.450000000000001,paper_results/evaluation/exp1/autoeval/20260607_235821,config_008_exp1_eventqa_scale1_baseline_qwen3_embed_4b,config_010_exp1_eventqa_scale1_temporal_qwen3_embed_4b
exp1_eventqa_scale1_qwen3_embed_4b,exp1_eventqa_scale1_qwen3_embed_4b,temporal,eventqa-scenario-0004,100,2.190497866824344,2531.2971383612603,1155.5807365523651,90,10,2,88,98,59,4.25,2.6090000000000013,paper_results/evaluation/exp1/autoeval/20260607_235821,config_008_exp1_eventqa_scale1_baseline_qwen3_embed_4b,config_010_exp1_eventqa_scale1_temporal_qwen3_embed_4b
exp1_eventqa_scale1_qwen3_embed_4b,exp1_eventqa_scale1_qwen3_embed_4b,temporal,eventqa-scenario-0005,100,2.0999903731942164,2533.318841638975,1206.3478356739506,83,17,11,72,89,49,4.0,3.792,paper_results/evaluation/exp1/autoeval/20260607_235821,config_008_exp1_eventqa_scale1_baseline_qwen3_embed_4b,config_010_exp1_eventqa_scale1_temporal_qwen3_embed_4b
exp1_eventqa_scale1_qwen3_embed_4b,exp1_eventqa_scale1_qwen3_embed_4b,temporal,eventqa-scenario-0006,100,4.70559885896216,2302.7780470903963,489.36981585342437,95,5,39,56,61,42,1.57,3.6919999999999984,paper_results/evaluation/exp1/autoeval/20260607_235821,config_008_exp1_eventqa_scale1_baseline_qwen3_embed_4b,config_010_exp1_eventqa_scale1_temporal_qwen3_embed_4b
exp1_eventqa_scale1_qwen3_embed_4b,exp1_eventqa_scale1_qwen3_embed_4b,temporal,eventqa-scenario-0007,100,5.8997379872833715,2244.9955009808764,380.5246107233688,96,4,42,54,58,47,1.25,3.1340000000000017,paper_results/evaluation/exp1/autoeval/20260607_235821,config_008_exp1_eventqa_scale1_baseline_qwen3_embed_4b,config_010_exp1_eventqa_scale1_temporal_qwen3_embed_4b
exp1_eventqa_scale1_qwen3_embed_4b,exp1_eventqa_scale1_qwen3_embed_4b,temporal,eventqa-scenario-0008,100,4.304362721062801,2389.1580706229433,555.0550047587603,95,5,25,70,75,46,1.77,3.7910000000000004,paper_results/evaluation/exp1/autoeval/20260607_235821,config_008_exp1_eventqa_scale1_baseline_qwen3_embed_4b,config_010_exp1_eventqa_scale1_temporal_qwen3_embed_4b
exp1_eventqa_scale1_qwen3_embed_4b,exp1_eventqa_scale1_qwen3_embed_4b,temporal,eventqa-scenario-0009,100,5.600916672762543,2078.839947148226,371.16066326387227,97,3,55,42,45,36,1.1,3.6010000000000026,paper_results/evaluation/exp1/autoeval/20260607_235821,config_008_exp1_eventqa_scale1_baseline_qwen3_embed_4b,config_010_exp1_eventqa_scale1_temporal_qwen3_embed_4b
exp1_eventqa_scale1_qwen3_embed_4b,exp1_eventqa_scale1_qwen3_embed_4b,temporal,eventqa-scenario-0010,100,5.120021788883929,2457.586896251887,479.99539798591286,96,4,36,60,64,48,1.6,2.9339999999999997,paper_results/evaluation/exp1/autoeval/20260607_235821,config_008_exp1_eventqa_scale1_baseline_qwen3_embed_4b,config_010_exp1_eventqa_scale1_temporal_qwen3_embed_4b
exp1_eventqa_scale1_qwen3_embed_4b,exp1_eventqa_scale1_qwen3_embed_4b,temporal,eventqa-scenario-0011,100,2.784912903001247,2489.991391808726,894.1002747789025,89,11,12,77,88,58,3.1,3.5410000000000004,paper_results/evaluation/exp1/autoeval/20260607_235821,config_008_exp1_eventqa_scale1_baseline_qwen3_embed_4b,config_010_exp1_eventqa_scale1_temporal_qwen3_embed_4b
exp1_eventqa_scale1_qwen3_embed_4b,exp1_eventqa_scale1_qwen3_embed_4b,temporal,eventqa-scenario-0012,100,3.9285333147401116,2361.657981351018,601.1551365721971,94,6,25,69,75,51,1.97,3.5640000000000014,paper_results/evaluation/exp1/autoeval/20260607_235821,config_008_exp1_eventqa_scale1_baseline_qwen3_embed_4b,config_010_exp1_eventqa_scale1_temporal_qwen3_embed_4b
exp1_eventqa_scale1_qwen3_embed_4b,exp1_eventqa_scale1_qwen3_embed_4b,temporal,eventqa-scenario-0013,100,3.3327157270953967,2507.210724777542,752.3026054678485,93,7,21,72,79,59,2.58,3.469,paper_results/evaluation/exp1/autoeval/20260607_235821,config_008_exp1_eventqa_scale1_baseline_qwen3_embed_4b,config_010_exp1_eventqa_scale1_temporal_qwen3_embed_4b
exp1_eventqa_scale1_qwen3_embed_4b,exp1_eventqa_scale1_qwen3_embed_4b,temporal,eventqa-scenario-0014,100,4.6822831564913185,2277.2428131708875,486.35307542514056,98,2,35,63,65,46,1.53,3.7830000000000013,paper_results/evaluation/exp1/autoeval/20260607_235821,config_008_exp1_eventqa_scale1_baseline_qwen3_embed_4b,config_010_exp1_eventqa_scale1_temporal_qwen3_embed_4b
exp1_eventqa_scale1_qwen3_embed_4b,exp1_eventqa_scale1_qwen3_embed_4b,temporal,eventqa-scenario-0015,100,3.5552649913737797,2510.7018773676828,706.1926139006391,94,6,15,79,85,63,2.49,2.977,paper_results/evaluation/exp1/autoeval/20260607_235821,config_008_exp1_eventqa_scale1_baseline_qwen3_embed_4b,config_010_exp1_eventqa_scale1_temporal_qwen3_embed_4b
exp1_locomo_scale1_qwen3_embed_4b,exp1_locomo_scale1_qwen3_embed_4b,random,locomo-conv-26,199,1.0016982942465553,256.95832445047535,256.52267347001026,0,199,0,0,0,0,10.0,1.0,paper_results/evaluation/exp1/autoeval/20260607_235821,config_000_exp1_locomo_scale1_baseline_qwen3_embed_4b,config_001_exp1_locomo_scale1_random_qwen3_embed_4b
exp1_locomo_scale1_qwen3_embed_4b,exp1_locomo_scale1_qwen3_embed_4b,random,locomo-conv-30,105,1.0013429233830098,244.6022865096373,244.27424491427485,0,105,0,0,0,0,10.0,1.0,paper_results/evaluation/exp1/autoeval/20260607_235821,config_000_exp1_locomo_scale1_baseline_qwen3_embed_4b,config_001_exp1_locomo_scale1_random_qwen3_embed_4b
exp1_locomo_scale1_qwen3_embed_4b,exp1_locomo_scale1_qwen3_embed_4b,random,locomo-conv-41,193,0.999689411109029,261.06725361950964,261.14836340007696,0,193,0,0,0,0,10.0,1.0,paper_results/evaluation/exp1/autoeval/20260607_235821,config_000_exp1_locomo_scale1_baseline_qwen3_embed_4b,config_001_exp1_locomo_scale1_random_qwen3_embed_4b
exp1_locomo_scale1_qwen3_embed_4b,exp1_locomo_scale1_qwen3_embed_4b,random,locomo-conv-42,260,1.0027882816375886,243.05543821448316,242.3796155830272,0,260,0,0,0,0,10.0,1.0,paper_results/evaluation/exp1/autoeval/20260607_235821,config_000_exp1_locomo_scale1_baseline_qwen3_embed_4b,config_001_exp1_locomo_scale1_random_qwen3_embed_4b
exp1_locomo_scale1_qwen3_embed_4b,exp1_locomo_scale1_qwen3_embed_4b,random,locomo-conv-43,242,1.0114591301080287,255.69799156620914,252.80111074670842,0,242,0,0,0,0,10.0,1.0,paper_results/evaluation/exp1/autoeval/20260607_235821,config_000_exp1_locomo_scale1_baseline_qwen3_embed_4b,config_001_exp1_locomo_scale1_random_qwen3_embed_4b
exp1_locomo_scale1_qwen3_embed_4b,exp1_locomo_scale1_qwen3_embed_4b,random,locomo-conv-44,158,1.005682658710455,250.85403959420097,249.4365766591428,0,158,0,0,0,0,10.0,1.0,paper_results/evaluation/exp1/autoeval/20260607_235821,config_000_exp1_locomo_scale1_baseline_qwen3_embed_4b,config_001_exp1_locomo_scale1_random_qwen3_embed_4b
exp1_locomo_scale1_qwen3_embed_4b,exp1_locomo_scale1_qwen3_embed_4b,random,locomo-conv-47,190,1.0020773557608242,250.0601301165788,249.54174313890306,0,190,0,0,0,0,10.0,1.0,paper_results/evaluation/exp1/autoeval/20260607_235821,config_000_exp1_locomo_scale1_baseline_qwen3_embed_4b,config_001_exp1_locomo_scale1_random_qwen3_embed_4b
exp1_locomo_scale1_qwen3_embed_4b,exp1_locomo_scale1_qwen3_embed_4b,random,locomo-conv-48,239,0.9998377393430021,227.94746617673582,227.98445908485223,0,239,0,0,0,0,10.0,1.0,paper_results/evaluation/exp1/autoeval/20260607_235821,config_000_exp1_locomo_scale1_baseline_qwen3_embed_4b,config_001_exp1_locomo_scale1_random_qwen3_embed_4b
exp1_locomo_scale1_qwen3_embed_4b,exp1_locomo_scale1_qwen3_embed_4b,random,locomo-conv-49,196,1.0000742255223367,244.4390330691727,244.42089080088297,0,196,0,0,0,0,10.0,1.0,paper_results/evaluation/exp1/autoeval/20260607_235821,config_000_exp1_locomo_scale1_baseline_qwen3_embed_4b,config_001_exp1_locomo_scale1_random_qwen3_embed_4b
exp1_locomo_scale1_qwen3_embed_4b,exp1_locomo_scale1_qwen3_embed_4b,random,locomo-conv-50,204,1.0017057284259931,261.8854755179628,261.4395306788056,0,204,0,0,0,0,10.0,1.0,paper_results/evaluation/exp1/autoeval/20260607_235821,config_000_exp1_locomo_scale1_baseline_qwen3_embed_4b,config_001_exp1_locomo_scale1_random_qwen3_embed_4b
exp1_locomo_scale1_qwen3_embed_4b,exp1_locomo_scale1_qwen3_embed_4b,semantic,locomo-conv-26,199,1.975357964396114,256.95832445047535,130.08190367614205,191,8,36,155,160,85,2.6331658291457285,5.986432160804021,paper_results/evaluation/exp1/autoeval/20260607_235821,config_000_exp1_locomo_scale1_baseline_qwen3_embed_4b,config_003_exp1_locomo_scale1_semantic_qwen3_embed_4b
exp1_locomo_scale1_qwen3_embed_4b,exp1_locomo_scale1_qwen3_embed_4b,semantic,locomo-conv-30,105,2.0631566859865114,244.6022865096373,118.55730016582778,99,6,18,81,86,37,2.876190476190476,5.494285714285712,paper_results/evaluation/exp1/autoeval/20260607_235821,config_000_exp1_locomo_scale1_baseline_qwen3_embed_4b,config_003_exp1_locomo_scale1_semantic_qwen3_embed_4b
